Data Download for where-do-they-struggle,,,,
CSV from: ,https://csusuccess.dashboards.calstate.edu/faculty-dashboard/where-do-they-struggle,,,
Humboldt,*All Colleges,By Department,*All Departments,2023 - Fall
,,,,
"""Course Grade Bottlenecks for All Freshman, Transfer, and Graduate Students""",,,,
Year Term,Course Code,Course Title,Enrollment,Number Non-passing
2023 - Fall,ECON450,Energy Econ and Climate Policy,20,1
2023 - Fall,ECON470S,Sustainable Rural Econ Devlpmt,11,0
2023 - Fall,EDUC101,Creando Raíces,37,7
2023 - Fall,EDUC377,Educ of Excptnl Individuals,15,1
2023 - Fall,ENGL102,Composition and Rhetoric A,540,93
2023 - Fall,ENGL103,Composition and Rhetoric B,109,11
2023 - Fall,ENGL104,Accelerated Comp and Rhetoric,194,35
2023 - Fall,ENGL105,Introduction To Literature,18,3
2023 - Fall,ENGL110,Writing Lab,55,22
2023 - Fall,ENGL211,Intro Creative Writing,16,2
2023 - Fall,ENGL218,Conceptualizing English,20,3
2023 - Fall,ENGL220,"Literature, Identity and Rprsn",17,2
2023 - Fall,ENGL240,World Lit,18,2
2023 - Fall,ENGL308B,Women In Literature,12,2
2023 - Fall,ENGL315,"Creative Writing,  Fiction",12,1
2023 - Fall,ENGL316,"Creative Writing,  Poetry",20,1
2023 - Fall,ENGL328,Structure of American English,19,0
2023 - Fall,ENGL336,Multicultural Queer Narratives,19,1
2023 - Fall,ENGL350,Sexology and Literary Scandal,10,3
2023 - Fall,ENGL406W,Theories of Writing,13,0
2023 - Fall,ENGL426,Communication In Writing II,16,1
2023 - Fall,ENGL435,Issues In Esl and Efl,19,0
2023 - Fall,ENGL460,Toyon Literary Magazine,14,0
2023 - Fall,ENGR115,Intro To Env Resources Engr,114,8
2023 - Fall,ENGR123,Engineering Fabrication,46,1
2023 - Fall,ENGR205,Intro To Design,32,0
2023 - Fall,ENGR210,Solid Mechanics Statics,26,4
2023 - Fall,ENGR225,Comp Methds For Env Engrng I,22,1
2023 - Fall,ENGR226,Comp Methods For Enginring II,24,4
2023 - Fall,ENGR280,Green Building,76,15
2023 - Fall,ENGR308,Technology and The Environment,18,2
2023 - Fall,ENGR313,Systems Analysis,24,1
2023 - Fall,ENGR322,Envrnmntl Data Modeling and An,23,0
2023 - Fall,ENGR326,Comp Mthds For Env Eng III,11,2
2023 - Fall,ENGR330,Mech and Science of Materials,17,0
2023 - Fall,ENGR331,Thermo and Energy Systems,25,0
2023 - Fall,ENGR333,Fluid Mechanics,10,2
2023 - Fall,ENGR410,Environ. Impact Assessment,17,0
2023 - Fall,ENGR416,Transport Phenomena,13,0
2023 - Fall,ENGR440,Hydrology I,16,1
2023 - Fall,ENGR443,Groundwater Hydrology,12,1
2023 - Fall,ENGR475,Renewable Energy Power Systems,15,0
2023 - Fall,ENGR492W,Capstone Design Project,11,0
2023 - Fall,ENST120,Intro Seminar In Env. Studies,34,2
2023 - Fall,ENST123,Green Building,42,6
2023 - Fall,ENST295,Power and Priviledge and Envir,37,6
2023 - Fall,ENST381,Resilient Community Innovation,24,1
2023 - Fall,ENST395W,Env. St. Research and Analysis,28,0
2023 - Fall,ES105,Intro To U.S. Ethnic Studies,76,10
2023 - Fall,ES106,Intro To Black Studies,56,19
2023 - Fall,ES107,Chican@ and Latin@ Lives,139,15
2023 - Fall,ES301,Media and Pol. of Representati,22,1
2023 - Fall,ES302,"Asian American Studies,  Intro",22,1
2023 - Fall,ES305,African American Cultural Hist,22,3
2023 - Fall,ES308,Multicult Perspectvs Amer Soc,39,8
2023 - Fall,FILM109,Film Comedy Around The World,79,9
2023 - Fall,FILM260,Film Festival,19,4
2023 - Fall,FILM305,Art of Film and Beginning To 1,40,7
2023 - Fall,FILM315,Filmmaking I,26,1
2023 - Fall,FILM317,"Art of Film Disc,  Pre 1950s",23,1
2023 - Fall,FILM350,Writing For Film,17,0
2023 - Fall,FILM378,Cinematography,18,0
2023 - Fall,FILM415,Filmmaking III,22,0
2023 - Fall,FILM478,Experimental Filmmaking,24,0
2023 - Fall,FISH260,Fish Conservation and Manageme,25,5
2023 - Fall,FISH300,Intro To Fishery Biology,53,8
2023 - Fall,FISH310,Ichthyology,61,8
2023 - Fall,FISH314,Fishery Science Communication,13,2
2023 - Fall,FISH370,Aquaculture,27,2
2023 - Fall,FISH380,Techniques In Fishery Biology,16,0
2023 - Fall,FISH435,Ecology of Marine Fishes,27,0
2023 - Fall,FISH476,Ecology of Running Water,14,0
